NAMELSAD10,Longitude,Latitude,Electricity,Fertilizer,Food_Production,Food_waste,Natural_Gas,Pet_waste,Pet_food_production,Transportation,Wastewater
Census Tract 3406,-86.20647,39.80303,54094.9,1609.6,5375087,61348.8,112707.3,22.7,25.6,5433.5,343.2
Census Tract 3407,-86.22782,39.79857,37255.1,2072.8,3701600,42248.4,77740.8,15.6,17.6,6707.1,261.6
Census Tract 3408,-86.24493,39.79567,20281.5,1525.7,2028114,23148,43517.2,8.6,9.6,4154.5,105.7
Census Tract 3409.01,-86.28069,39.79054,40148.9,3333.4,3921410,44757.2,76665.9,16.6,18.6,51749.3,232.9
Census Tract 3409.02,-86.26327,39.7889,87261.7,2930.3,8267787,94364.7,136091.4,34.9,39.3,9187.5,366.9
Census Tract 3410,-86.23915,39.78436,21402,2222.4,2148276,24519.4,47002.2,9.1,10.2,4990.9,100.4
Census Tract 3411,-86.21812,39.78417,23127.8,646.3,2280162,26024.7,45487,9.6,10.8,3848.3,140.5
Census Tract 3412,-86.20353,39.78516,23732,76.6,2335848,26660.3,46314.1,9.9,11.1,3848.3,148.1
Census Tract 3416,-86.20448,39.77735,25462.7,132.2,2473595,28232.5,47163.3,10.4,11.8,3848.3,114.8
Census Tract 3417,-86.2307,39.7694,51597.9,5792.2,5026322,57368.1,95129.6,21.2,23.9,6004.3,295
Census Tract 3419.02,-86.27462,39.77315,41693.3,4078,4135359,47199.1,85750.3,17.5,19.7,51749.3,221.1
Census Tract 3419.03,-86.26064,39.76827,63846.2,1278.9,5858669,66868.1,80795.9,24.7,27.8,5946.9,357.8
Census Tract 3419.04,-86.25854,39.77637,29707.6,422.9,2734436,31209.6,37945,11.5,13,3848.2,143.3
Census Tract 3420,-86.3095,39.74149,62567.2,5698.7,6016932,68674.5,106423.1,25.4,28.6,51749.3,407.6
Census Tract 3421.01,-86.27658,39.74753,54222.3,4484.3,5231478,59709.7,96263.3,22.1,24.9,51749.3,341
Census Tract 3422,-86.2571,39.74212,55315.5,2307,5410257,61750.2,105419,22.8,25.7,8192.4,346.7
